location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
12,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,72.50569689416703
13,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,19.8316212426922
15,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,5.809002622638009
16,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,4.800892067076813
17,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,84.88635482758247
18,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,64.72731698869791
19,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,15.528914430633085
20,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,19.676135667065793
21,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,36.34267287730707
22,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,22.163313680091427
23,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,7.101043241367547
24,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,23.04858189555712
25,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,167.64374220192104
26,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,201.88192478943816
27,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,107.78755409820435
28,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,12.565573777269872
29,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,72.46362126599836
30,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,6.466110748618639
31,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,8.396596919505054
32,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,5.845159060070477
33,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,6.136821872283756
34,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,0.0
35,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,60.75571939592558
36,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,139.90879689480823
37,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,43.1943321469504
38,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,6.79813809741624
39,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,91.09095735135556
40,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,21.28358038227231
41,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,17.63054493232392
42,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,535.0308208043957
44,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,12.386547930630972
45,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,18.78002760285712
46,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,11.607040229798928
47,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,32.09744369982994
48,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,76.21841989724648
49,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,23.91040876464776
50,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,8.072624494609938
51,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,19.0216364128278
53,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,26.24141355134851
54,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,75.50404665542382
55,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,62.16276211774388
56,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,11.826692685031672
72,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,7.86087228022613
US,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.025,3288.624617289621
01,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,19.849527564090863
02,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,1.9289484125202414
04,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,286.3876910878992
05,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,16.149345967821333
06,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,159.2538782284298
08,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,47.89931886338914
09,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,17.059834439778246
10,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,6.89088224695522
11,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,9.716179471982588
12,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,65.81114911680893
13,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,14.088485398048428
15,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,5.543493522262941
16,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,3.9095189290872145
17,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,77.56107686089851
18,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,55.925105223218274
19,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,13.318496482169861
